stlExercise
# examples in unlabeled set: 29404
# examples in supervised training set: 15298

# examples in supervised testing set: 15298

 Iteration   FunEvals     Step Length    Function Val        Opt Cond
       108        113     1.00000e+00     1.30900e+01     5.67003e+01
       109        114     1.00000e+00     1.30757e+01     8.96653e+01
       110        115     1.00000e+00     1.30485e+01     4.43290e+01
       111        116     1.00000e+00     1.30421e+01     3.55307e+01
       112        117     1.00000e+00     1.30356e+01     4.69730e+01
       113        118     1.00000e+00     1.30239e+01     4.96740e+01
       114        119     1.00000e+00     1.29959e+01     5.51850e+01
       115        120     1.00000e+00     1.29633e+01     7.14747e+01
       116        121     1.00000e+00     1.29407e+01     6.06733e+01
       117        122     1.00000e+00     1.29283e+01     3.98626e+01
       118        123     1.00000e+00     1.29228e+01     4.11456e+01
       119        124     1.00000e+00     1.29174e+01     3.66079e+01
       120        125     1.00000e+00     1.29055e+01     4.20836e+01
       121        126     1.00000e+00     1.28810e+01     5.39189e+01
       122        127     1.00000e+00     1.28488e+01     5.57891e+01
       123        129     2.49840e-01     1.28397e+01     6.21135e+01
       124        130     1.00000e+00     1.28177e+01     4.17486e+01
       125        131     1.00000e+00     1.28055e+01     3.08881e+01
       126        132     1.00000e+00     1.27956e+01     3.92949e+01
       127        133     1.00000e+00     1.27813e+01     4.95319e+01
       128        134     1.00000e+00     1.27527e+01     5.58534e+01
       129        135     1.00000e+00     1.27442e+01     8.32660e+01
       130        136     1.00000e+00     1.27130e+01     3.76087e+01
       131        137     1.00000e+00     1.27034e+01     2.84237e+01
       132        138     1.00000e+00     1.26963e+01     3.23627e+01
       133        139     1.00000e+00     1.26870e+01     3.78635e+01
       134        140     1.00000e+00     1.26715e+01     3.82751e+01
       135        141     1.00000e+00     1.26520e+01     4.39888e+01
       136        142     1.00000e+00     1.26296e+01     4.74231e+01
       137        143     1.00000e+00     1.26122e+01     4.92517e+01
       138        144     1.00000e+00     1.25990e+01     4.23300e+01
       139        145     1.00000e+00     1.25885e+01     3.13477e+01
       140        146     1.00000e+00     1.25769e+01     3.28200e+01
       141        147     1.00000e+00     1.25668e+01     3.60204e+01
       142        148     1.00000e+00     1.25549e+01     4.68723e+01
       143        149     1.00000e+00     1.25416e+01     3.67494e+01
       144        150     1.00000e+00     1.25287e+01     3.26422e+01
       145        151     1.00000e+00     1.25088e+01     3.99543e+01
       146        152     1.00000e+00     1.24976e+01     4.70562e+01
       147        153     1.00000e+00     1.24872e+01     3.58766e+01
       148        154     1.00000e+00     1.24771e+01     3.15623e+01
       149        155     1.00000e+00     1.24700e+01     3.24549e+01
       150        156     1.00000e+00     1.24571e+01     3.94971e+01
       151        157     1.00000e+00     1.24469e+01     3.91908e+01
       152        158     1.00000e+00     1.24379e+01     3.53444e+01
       153        159     1.00000e+00     1.24182e+01     4.02835e+01
       154        160     1.00000e+00     1.24069e+01     4.08135e+01
       155        161     1.00000e+00     1.23950e+01     3.45594e+01
       156        162     1.00000e+00     1.23871e+01     3.11683e+01
       157        163     1.00000e+00     1.23796e+01     3.41293e+01
       158        164     1.00000e+00     1.23692e+01     3.78912e+01
       159        165     1.00000e+00     1.23623e+01     6.14924e+01
       160        166     1.00000e+00     1.23480e+01     3.52522e+01
       161        167     1.00000e+00     1.23376e+01     2.85042e+01
       162        168     1.00000e+00     1.23271e+01     3.18173e+01
       163        169     1.00000e+00     1.23165e+01     3.59191e+01
       164        170     1.00000e+00     1.23097e+01     3.88539e+01
       165        171     1.00000e+00     1.23007e+01     2.50861e+01
       166        172     1.00000e+00     1.22943e+01     2.63382e+01
       167        173     1.00000e+00     1.22865e+01     3.22973e+01
       168        174     1.00000e+00     1.22773e+01     4.89425e+01
       169        175     1.00000e+00     1.22632e+01     2.86609e+01
       170        176     1.00000e+00     1.22529e+01     2.55138e+01
       171        177     1.00000e+00     1.22450e+01     3.10697e+01
       172        178     1.00000e+00     1.22390e+01     3.45441e+01
       173        179     1.00000e+00     1.22322e+01     2.77298e+01
       174        180     1.00000e+00     1.22207e+01     2.81514e+01
       175        181     1.00000e+00     1.22133e+01     3.30157e+01
       176        182     1.00000e+00     1.22035e+01     3.57080e+01
       177        183     1.00000e+00     1.21963e+01     4.02205e+01
       178        184     1.00000e+00     1.21882e+01     2.44822e+01
       179        185     1.00000e+00     1.21815e+01     2.48852e+01
       180        186     1.00000e+00     1.21747e+01     2.99738e+01
       181        187     1.00000e+00     1.21669e+01     3.72932e+01
       182        188     1.00000e+00     1.21573e+01     3.01655e+01
       183        189     1.00000e+00     1.21488e+01     2.38266e+01
       184        190     1.00000e+00     1.21391e+01     3.09204e+01
       185        191     1.00000e+00     1.21346e+01     3.11406e+01
       186        192     1.00000e+00     1.21291e+01     2.37560e+01
       187        193     1.00000e+00     1.21231e+01     2.34674e+01
       188        194     1.00000e+00     1.21184e+01     2.74343e+01
       189        195     1.00000e+00     1.21104e+01     3.33650e+01
       190        196     1.00000e+00     1.21042e+01     4.04133e+01
       191        197     1.00000e+00     1.20965e+01     2.81459e+01
       192        198     1.00000e+00     1.20859e+01     2.67392e+01
       193        199     1.00000e+00     1.20792e+01     2.75113e+01
       194        201     5.24158e-01     1.20749e+01     3.60620e+01
       195        202     1.00000e+00     1.20683e+01     2.38281e+01
       196        203     1.00000e+00     1.20623e+01     2.20966e+01
       197        204     1.00000e+00     1.20539e+01     3.02433e+01
       198        205     1.00000e+00     1.20465e+01     3.54242e+01
       199        206     1.00000e+00     1.20396e+01     2.95395e+01
       200        207     1.00000e+00     1.20344e+01     2.08825e+01
Exceeded Maximum Number of Iterations
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
         1          3     6.22039e-01     1.32805e+00     1.34821e+01
         2          4     1.00000e+00     5.09365e-01     4.78603e+00
         3          5     1.00000e+00     3.71951e-01     3.99057e+00
         4          6     1.00000e+00     2.77888e-01     1.62696e+00
         5          7     1.00000e+00     2.26967e-01     9.09830e-01
         6          8     1.00000e+00     1.89599e-01     1.05521e+00
         7          9     1.00000e+00     1.59267e-01     6.52672e-01
         8         10     1.00000e+00     1.47460e-01     4.50772e-01
         9         11     1.00000e+00     1.33373e-01     3.74892e-01
        10         12     1.00000e+00     1.23075e-01     3.43627e-01
        11         13     1.00000e+00     1.15967e-01     2.74085e-01
        12         14     1.00000e+00     1.05024e-01     1.98173e-01
        13         15     1.00000e+00     9.89956e-02     2.86233e-01
        14         16     1.00000e+00     9.57616e-02     1.83365e-01
        15         17     1.00000e+00     9.29735e-02     1.71268e-01
        16         18     1.00000e+00     9.11330e-02     1.39672e-01
        17         19     1.00000e+00     8.80007e-02     9.02252e-02
        18         20     1.00000e+00     8.63262e-02     8.31588e-02
        19         21     1.00000e+00     8.52811e-02     6.95905e-02
        20         22     1.00000e+00     8.45307e-02     5.19671e-02
        21         23     1.00000e+00     8.36757e-02     4.18636e-02
        22         24     1.00000e+00     8.30164e-02     4.82905e-02
        23         25     1.00000e+00     8.24104e-02     3.76166e-02
        24         26     1.00000e+00     8.21451e-02     5.00585e-02
        25         27     1.00000e+00     8.19328e-02     1.97721e-02
        26         28     1.00000e+00     8.18492e-02     1.80221e-02
        27         29     1.00000e+00     8.17598e-02     1.66901e-02
        28         30     1.00000e+00     8.16408e-02     1.67486e-02
        29         31     1.00000e+00     8.15901e-02     1.79235e-02
        30         32     1.00000e+00     8.15478e-02     8.63641e-03
        31         33     1.00000e+00     8.15280e-02     6.90747e-03
        32         34     1.00000e+00     8.15083e-02     6.35628e-03
        33         35     1.00000e+00     8.14877e-02     5.76571e-03
        34         37     4.79182e-01     8.14809e-02     6.80777e-03
        35         38     1.00000e+00     8.14730e-02     3.66241e-03
        36         39     1.00000e+00     8.14682e-02     2.82874e-03
        37         40     1.00000e+00     8.14638e-02     2.71394e-03
        38         41     1.00000e+00     8.14612e-02     2.91066e-03
        39         42     1.00000e+00     8.14593e-02     1.60840e-03
        40         43     1.00000e+00     8.14584e-02     1.38989e-03
        41         44     1.00000e+00     8.14575e-02     1.33650e-03
        42         45     1.00000e+00     8.14570e-02     1.48602e-03
        43         46     1.00000e+00     8.14567e-02     7.34393e-04
        44         47     1.00000e+00     8.14565e-02     6.82180e-04
        45         48     1.00000e+00     8.14563e-02     6.70097e-04
        46         49     1.00000e+00     8.14561e-02     5.01962e-04
        47         51     3.16508e-01     8.14560e-02     4.93514e-04
        48         52     1.00000e+00     8.14560e-02     2.81140e-04
        49         53     1.00000e+00     8.14560e-02     2.45658e-04
        50         54     1.00000e+00     8.14559e-02     2.26250e-04
        51         55     1.00000e+00     8.14559e-02     1.62199e-04
        52         57     5.06786e-01     8.14559e-02     1.27089e-04
        53         58     1.00000e+00     8.14559e-02     7.25155e-05
        54         59     1.00000e+00     8.14559e-02     7.10678e-05
        55         60     1.00000e+00     8.14559e-02     5.75844e-05
        56         61     1.00000e+00     8.14559e-02     8.36180e-05
        57         62     1.00000e+00     8.14559e-02     2.76818e-05
Function Value changing by less than TolX
Test Accuracy: 97.953981%
